# ----------------------------------------,,,,,,,
# Jbdon,,,,,,,
# Pages,,,,,,,
# 20180831-20190831,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,813,665,00:02:05,641,14.35%,55.97%,£0.00
/www.jbdon.com,515,388,00:02:17,373,59.25%,56.89%,£0.00
/get-in-touch/,336,163,00:01:06,23,10.53%,33.04%,£0.00
/app-marketing-agency/,140,120,00:02:04,73,18.31%,57.86%,£0.00
/app-store-optimization-services/,136,105,00:01:30,22,14.29%,47.79%,£0.00
/get-in-touch/www.jbdon.com,87,66,00:02:19,7,71.43%,45.98%,£0.00
/jbdon.com,68,42,00:00:49,41,68.29%,50.00%,£0.00
/app-marketing-agency/www.jbdon.com,67,58,00:02:36,24,75.00%,58.21%,£0.00
/?page_id=16198,60,2,00:00:15,1,0.00%,0.00%,£0.00
/app-store-optimization-services/www.jbdon.com,55,48,00:02:42,7,71.43%,47.27%,£0.00
/blog/,34,32,00:01:26,13,14.29%,61.76%,£0.00
/channel/UCAQfRNzXGD4BQICkO1KQZUA,30,25,00:00:34,24,41.67%,46.67%,£0.00
/blog/www.jbdon.com,25,24,00:00:48,11,63.64%,72.00%,£0.00
/channel/UCAQfRNzXGD4BQICkO1KQZUA/videos,23,21,00:04:44,9,88.89%,78.26%,£0.00
/blippar-the-message-isnt-clear/,20,17,00:00:30,17,41.18%,85.00%,£0.00
/mobile-app-competitor-analysis/,19,15,00:08:12,15,6.67%,78.95%,£0.00
/instagram-ads-for-business/,17,12,00:01:45,2,100.00%,41.18%,£0.00
/candy-crush-ads-london/www.jbdon.com,13,9,00:05:01,9,66.67%,61.54%,£0.00
/category/the-weekly-noise/,13,13,00:02:32,4,25.00%,46.15%,£0.00
/author/nduddy/www.jbdon.com,12,10,00:06:44,9,66.67%,66.67%,£0.00
/facebook-ad-agency/,12,12,00:00:25,2,50.00%,25.00%,£0.00
/in-app-analytics-setup/www.jbdon.com,12,9,00:04:32,8,75.00%,75.00%,£0.00
/candy-crush-ads-london/,11,10,00:09:45,10,27.27%,90.91%,£0.00
/facebook-ad-agency/www.jbdon.com,11,11,00:00:57,3,66.67%,36.36%,£0.00
/mobile-app-competitor-analysis/www.jbdon.com,11,11,00:00:00,11,100.00%,100.00%,£0.00
/weekly-round-up-9/,11,8,00:00:37,8,0.00%,63.64%,£0.00
/google-play-ads/,9,8,00:00:33,1,100.00%,33.33%,£0.00
/tag/rendevu-app/www.jbdon.com,9,6,00:00:14,6,66.67%,66.67%,£0.00
/c/Jbdoncouk,8,7,00:05:23,7,57.14%,62.50%,£0.00
