# ----------------------------------------,,,,,,,,,
# jbdon,,,,,,,,,
# Channels,,,,,,,,,
# 20180831-20190831,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
brightonseo.com,25,25,31,0.00%,1.42,00:01:08,0.00%,0,£0.00
clutch.co,24,23,31,54.84%,1.58,00:01:04,0.00%,0,£0.00
yell.com,5,5,7,0.00%,1.86,00:00:24,0.00%,0,£0.00
free-website-traffic.com,4,4,4,25.00%,2.25,00:00:36,0.00%,0,£0.00
growthbug.com,4,4,6,0.00%,1.17,00:05:15,0.00%,0,£0.00
jbdon.com,4,3,12,58.33%,2.08,00:06:39,0.00%,0,£0.00
businessofapps.com,3,3,6,50.00%,1.5,00:04:36,0.00%,0,£0.00
s3.amazonaws.com,3,0,6,0.00%,2.33,00:02:39,16.67%,1,£0.00
mobuzz.org,2,2,2,50.00%,2,00:01:35,0.00%,0,£0.00
search.google.com,2,0,8,0.00%,2.88,00:07:34,0.00%,0,£0.00
,101,88,144,23.61%,3.85,00:02:54,2.08%,3,£0.00
,,,,,,,,,
Day Index,Users,,,,,,,,
8/31/18,0,,,,,,,,
09-01-2018,0,,,,,,,,
09-02-2018,0,,,,,,,,
09-03-2018,0,,,,,,,,
09-04-2018,1,,,,,,,,
09-05-2018,0,,,,,,,,
09-06-2018,1,,,,,,,,
09-07-2018,0,,,,,,,,
09-08-2018,0,,,,,,,,
09-09-2018,0,,,,,,,,
09-10-2018,0,,,,,,,,
09-11-2018,1,,,,,,,,
09-12-2018,0,,,,,,,,
9/13/18,0,,,,,,,,
9/14/18,0,,,,,,,,
9/15/18,0,,,,,,,,
9/16/18,0,,,,,,,,
9/17/18,0,,,,,,,,
9/18/18,2,,,,,,,,
9/19/18,1,,,,,,,,
9/20/18,0,,,,,,,,
9/21/18,0,,,,,,,,
9/22/18,1,,,,,,,,
9/23/18,1,,,,,,,,
9/24/18,0,,,,,,,,
9/25/18,1,,,,,,,,
9/26/18,0,,,,,,,,
9/27/18,1,,,,,,,,
9/28/18,1,,,,,,,,
9/29/18,0,,,,,,,,
9/30/18,0,,,,,,,,
10-01-2018,1,,,,,,,,
10-02-2018,0,,,,,,,,
10-03-2018,0,,,,,,,,
10-04-2018,0,,,,,,,,
10-05-2018,3,,,,,,,,
10-06-2018,0,,,,,,,,
10-07-2018,0,,,,,,,,
10-08-2018,0,,,,,,,,
10-09-2018,1,,,,,,,,
10-10-2018,0,,,,,,,,
10-11-2018,0,,,,,,,,
10-12-2018,0,,,,,,,,
10/13/18,0,,,,,,,,
10/14/18,0,,,,,,,,
10/15/18,1,,,,,,,,
10/16/18,0,,,,,,,,
10/17/18,1,,,,,,,,
10/18/18,0,,,,,,,,
10/19/18,0,,,,,,,,
10/20/18,0,,,,,,,,
10/21/18,0,,,,,,,,
10/22/18,1,,,,,,,,
10/23/18,0,,,,,,,,
10/24/18,2,,,,,,,,
10/25/18,1,,,,,,,,
10/26/18,0,,,,,,,,
10/27/18,0,,,,,,,,
10/28/18,0,,,,,,,,
10/29/18,1,,,,,,,,
10/30/18,0,,,,,,,,
10/31/18,1,,,,,,,,
11-01-2018,0,,,,,,,,
11-02-2018,0,,,,,,,,
11-03-2018,0,,,,,,,,
11-04-2018,0,,,,,,,,
11-05-2018,0,,,,,,,,
11-06-2018,2,,,,,,,,
11-07-2018,0,,,,,,,,
11-08-2018,0,,,,,,,,
11-09-2018,1,,,,,,,,
11-10-2018,0,,,,,,,,
11-11-2018,0,,,,,,,,
11-12-2018,0,,,,,,,,
11/13/18,1,,,,,,,,
11/14/18,0,,,,,,,,
11/15/18,1,,,,,,,,
11/16/18,0,,,,,,,,
11/17/18,0,,,,,,,,
11/18/18,0,,,,,,,,
11/19/18,1,,,,,,,,
11/20/18,1,,,,,,,,
11/21/18,0,,,,,,,,
11/22/18,0,,,,,,,,
11/23/18,0,,,,,,,,
11/24/18,1,,,,,,,,
11/25/18,0,,,,,,,,
11/26/18,0,,,,,,,,
11/27/18,0,,,,,,,,
