# ----------------------------------------,,,,,,,,,
# Jbdon,,,,,,,,,
# Channels,,,,,,,,,
# 20180831-20190831,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
Organic Search,622,598,734,36.10%,1.75,00:01:43,0.00%,0,£0.00
Direct,601,599,665,57.74%,1.37,00:00:42,0.00%,0,£0.00
(Other),194,160,248,18.15%,2.1,00:02:35,0.00%,0,£0.00
Referral,100,88,144,23.61%,3.85,00:02:54,2.08%,3,£0.00
Social,41,39,42,35.71%,1.19,00:00:49,0.00%,0,£0.00
,"1,558","1,484","1,833",40.53%,1.81,00:01:32,0.16%,3,£0.00
,,,,,,,,,
Day Index,Users,,,,,,,,
8/31/18,5,,,,,,,,
09-01-2018,4,,,,,,,,
09-02-2018,5,,,,,,,,
09-03-2018,7,,,,,,,,
09-04-2018,7,,,,,,,,
09-05-2018,10,,,,,,,,
09-06-2018,11,,,,,,,,
09-07-2018,5,,,,,,,,
09-08-2018,3,,,,,,,,
09-09-2018,1,,,,,,,,
09-10-2018,5,,,,,,,,
09-11-2018,8,,,,,,,,
09-12-2018,14,,,,,,,,
9/13/18,12,,,,,,,,
9/14/18,8,,,,,,,,
9/15/18,1,,,,,,,,
9/16/18,4,,,,,,,,
9/17/18,2,,,,,,,,
9/18/18,15,,,,,,,,
9/19/18,9,,,,,,,,
9/20/18,8,,,,,,,,
9/21/18,11,,,,,,,,
9/22/18,5,,,,,,,,
9/23/18,7,,,,,,,,
9/24/18,7,,,,,,,,
9/25/18,9,,,,,,,,
9/26/18,8,,,,,,,,
9/27/18,8,,,,,,,,
9/28/18,8,,,,,,,,
9/29/18,2,,,,,,,,
9/30/18,2,,,,,,,,
10-01-2018,8,,,,,,,,
10-02-2018,10,,,,,,,,
10-03-2018,3,,,,,,,,
10-04-2018,2,,,,,,,,
10-05-2018,5,,,,,,,,
10-06-2018,1,,,,,,,,
10-07-2018,4,,,,,,,,
10-08-2018,7,,,,,,,,
10-09-2018,10,,,,,,,,
10-10-2018,12,,,,,,,,
10-11-2018,3,,,,,,,,
10-12-2018,4,,,,,,,,
10/13/18,4,,,,,,,,
10/14/18,5,,,,,,,,
10/15/18,9,,,,,,,,
10/16/18,12,,,,,,,,
10/17/18,7,,,,,,,,
10/18/18,4,,,,,,,,
10/19/18,4,,,,,,,,
10/20/18,5,,,,,,,,
10/21/18,1,,,,,,,,
10/22/18,8,,,,,,,,
10/23/18,4,,,,,,,,
10/24/18,5,,,,,,,,
10/25/18,8,,,,,,,,
10/26/18,3,,,,,,,,
10/27/18,8,,,,,,,,
10/28/18,9,,,,,,,,
10/29/18,7,,,,,,,,
10/30/18,5,,,,,,,,
10/31/18,10,,,,,,,,
11-01-2018,4,,,,,,,,
11-02-2018,5,,,,,,,,
11-03-2018,6,,,,,,,,
11-04-2018,2,,,,,,,,
11-05-2018,4,,,,,,,,
11-06-2018,11,,,,,,,,
11-07-2018,3,,,,,,,,
11-08-2018,9,,,,,,,,
11-09-2018,11,,,,,,,,
11-10-2018,5,,,,,,,,
11-11-2018,5,,,,,,,,
11-12-2018,23,,,,,,,,
11/13/18,96,,,,,,,,
11/14/18,7,,,,,,,,
11/15/18,6,,,,,,,,
11/16/18,4,,,,,,,,
11/17/18,12,,,,,,,,
11/18/18,5,,,,,,,,
11/19/18,4,,,,,,,,
11/20/18,7,,,,,,,,
11/21/18,12,,,,,,,,
11/22/18,5,,,,,,,,
11/23/18,10,,,,,,,,
11/24/18,6,,,,,,,,
11/25/18,2,,,,,,,,
11/26/18,9,,,,,,,,
11/27/18,6,,,,,,,,
11/28/18,5,,,,,,,,
11/29/18,8,,,,,,,,
11/30/18,3,,,,,,,,
12-01-2018,6,,,,,,,,
12-02-2018,4,,,,,,,,
12-03-2018,10,,,,,,,,
12-04-2018,1,,,,,,,,
12-05-2018,0,,,,,,,,
12-06-2018,0,,,,,,,,
12-07-2018,0,,,,,,,,
12-08-2018,0,,,,,,,,
12-09-2018,0,,,,,,,,
12-10-2018,0,,,,,,,,
12-11-2018,0,,,,,,,,
12-12-2018,0,,,,,,,,
12/13/18,0,,,,,,,,
12/14/18,0,,,,,,,,
12/15/18,0,,,,,,,,
12/16/18,0,,,,,,,,
12/17/18,0,,,,,,,,
12/18/18,0,,,,,,,,
12/19/18,0,,,,,,,,
12/20/18,0,,,,,,,,
12/21/18,0,,,,,,,,
12/22/18,0,,,,,,,,
12/23/18,0,,,,,,,,
12/24/18,0,,,,,,,,
12/25/18,0,,,,,,,,
12/26/18,0,,,,,,,,
12/27/18,0,,,,,,,,
12/28/18,0,,,,,,,,
12/29/18,0,,,,,,,,
12/30/18,0,,,,,,,,
12/31/18,0,,,,,,,,
01-01-2019,0,,,,,,,,
01-02-2019,0,,,,,,,,
01-03-2019,0,,,,,,,,
01-04-2019,0,,,,,,,,
01-05-2019,0,,,,,,,,
